,name,phone,zipcode,Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
0,"2322 Merton Avenue, Los Angeles, CA 90041", 323-257-5803,90041,90041,27425,39.0,13212,14213,9513,2.71
1,"1649 Yosemite Drive, Los Angeles, CA 90041", 310-966-6500,90041,90041,27425,39.0,13212,14213,9513,2.71
2,"2256 Colorado Blvd., Unit 106, Los Angeles, CA 90041", (865) 776-6234,90041,90041,27425,39.0,13212,14213,9513,2.71
3,"2002 Merton Avenue, Los Angeles, CA 90041", 310-521-9310,90041,90041,27425,39.0,13212,14213,9513,2.71
4,"9733 Columbus Avenue, North Hills, CA 91343", 818-810-5132,91343,91343,60254,32.3,30145,30109,16802,3.55
5,"16244 Nordhoff Street, North Hills, CA 91343", (213) 288-7037,91343,91343,60254,32.3,30145,30109,16802,3.55
6,"15453 Rayen Street, North Hills, CA 91343", 323-653-1990,91343,91343,60254,32.3,30145,30109,16802,3.55
7,"16514 Nordhoff Street, North Hills, CA 91343", (310) 392-8636,91343,91343,60254,32.3,30145,30109,16802,3.55
8,"2906 S. La Brea Avenue, Los Angeles, CA 90016", (213) 228-7037,90016,90016,47596,33.9,22778,24818,16145,2.93
9,"2200 E. First Street, Los Angeles, CA 90016", (213) 228-7037,90016,90016,47596,33.9,22778,24818,16145,2.93
10,"2211 W. Jefferson Blvd., Los Angeles, CA 90016", (213) 288-7037,90016,90016,47596,33.9,22778,24818,16145,2.93
11,"2900 South Crenshaw Blvd., Los Angeles, CA 90016", 323-467-8466 (General Info),90016,90016,47596,33.9,22778,24818,16145,2.93
12,"4591 Santa Monica Blvd., Los Angeles, CA 90029", (213) 228-7037,90029,90029,38617,34.6,19575,19042,13883,2.7
13,"4311 Melrose Avenue, Los Angeles, CA 90029", 213-744-0724,90029,90029,38617,34.6,19575,19042,13883,2.7
14,"4371 Melrose Ave., Los Angeles, CA 90029", (818) 790-3323,90029,90029,38617,34.6,19575,19042,13883,2.7
15,"1410 W. Temple Street, Los Angeles, CA 90026", (213) 228-7037,90026,90026,67869,34.0,34515,33354,24956,2.68
16,"2301 Bellevue Avenue, Los Angeles, CA 90026", 323-257-6434,90026,90026,67869,34.0,34515,33354,24956,2.68
17,"1650 Rockwood Street, Los Angeles, CA 90026", 323-737-6111,90026,90026,67869,34.0,34515,33354,24956,2.68
18,"267 Belmont Avenue (Emergency Center), 1671 Beverly Boulevard (Administrative Office), Los Angeles, CA 90026", 213-251-3549,90026,90026,67869,34.0,34515,33354,24956,2.68
19,"1448 N. Alvarado Street, Los Angeles, CA 90026", 818-731-1910,90026,90026,67869,34.0,34515,33354,24956,2.68
20,"1410 W. Temple Street, Los Angeles, CA 90026", 818-887-1109,90026,90026,67869,34.0,34515,33354,24956,2.68
21,"3900 S. Western Ave., Los Angeles, CA 90062", (213) 228-7037,90062,90062,32821,31.8,15720,17101,9155,3.55
22,"4607 S. Main Street, Los Angeles, CA 90037", (213) 228-7037,90037,90037,62276,28.8,31187,31089,15869,3.85
23,"3965 S. Vermont Ave., 3rd floor, Los Angeles, CA 90037", 213-989-7700,90037,90037,62276,28.8,31187,31089,15869,3.85
24,"5715 S Broadway, Los Angeles, CA 90037", 323-432-4399,90037,90037,62276,28.8,31187,31089,15869,3.85
25,"5715 S Broadway, Los Angeles, CA 90037", 213-382-1300,90037,90037,62276,28.8,31187,31089,15869,3.85
26,"4607 S. Main Street, Los Angeles, CA 90037", 818-887-1109,90037,90037,62276,28.8,31187,31089,15869,3.85
27,"5715 S. Broadway, Los Angeles, CA 90037", (213) 744-0724,90037,90037,62276,28.8,31187,31089,15869,3.85
28,"3804 Broadway Place, Los Angeles, CA 90037", 323-918-2140,90037,90037,62276,28.8,31187,31089,15869,3.85
29,"2530 Workman Street, Los Angeles, CA 90031", (213) 228-7037,90031,90031,39316,33.5,19546,19770,11156,3.49
30,"342 N. San Fernando Rd., Los Angeles, CA 90031", 323-469-2946,90031,90031,39316,33.5,19546,19770,11156,3.49
31,"342 N. San Fernando Road, Los Angeles, CA 90031", 213-833-5020,90031,90031,39316,33.5,19546,19770,11156,3.49
32,"13605 Van Nuys Blvd., Pacoima, CA 91331", (213) 288-7037,91331,91331,103689,29.5,52358,51331,22465,4.6
33,"13545 Van Nuys Blvd., Pacoima, CA 91331", 310-401-9400,91331,91331,103689,29.5,52358,51331,22465,4.6
34,"11076 Norris Ave., 2nd Floor , Pacoima, CA 91331", (213) 891-2880,91331,91331,103689,29.5,52358,51331,22465,4.6
35,"13003 Van Nuys Blvd., Pacoima, CA 91331", 818-935-4317,91331,91331,103689,29.5,52358,51331,22465,4.6
36,"13605 Van Nuys Boulevard, Pacoima, CA 91331", (818) 762-2909,91331,91331,103689,29.5,52358,51331,22465,4.6
37,"12502 Van Nuys Boulevard, Pacoima, CA 91331", 818-960-0404 (Family Shelter),91331,91331,103689,29.5,52358,51331,22465,4.6
38,"14345 Roscoe Blvd., Panorama City, CA 91402", (213) 228-7037,91402,91402,69817,30.1,35095,34722,18194,3.81
39,"1030 S. Alvarado Street, Los Angeles, CA 90006", (213) 228-7037,90006,90006,59185,32.4,30254,28931,18617,3.13
40,"2853 James M. Wood Blvd., Los Angeles, CA 90006", 800-480-3287,90006,90006,59185,32.4,30254,28931,18617,3.13
41,"1517 S. Western Ave, Los Angeles, CA 90006", 323-786-2413,90006,90006,59185,32.4,30254,28931,18617,3.13
42,"694 S. Oxford Ave., Los Angeles, CA 90005", (213) 228-7037,90005,90005,37681,33.9,19299,18382,15044,2.5
43,"694 S. Oxford Avenue, Los Angeles, CA 90005", 818-891-0481,90005,90005,37681,33.9,19299,18382,15044,2.5
44,"23600 Victory Blvd., Woodland Hills, CA 91367", (213) 228-7037,91367,91367,39499,41.0,19171,20328,16697,2.35
