Date,Sales,DPIPC,UR,PR,UMICS
2/1/02,152641,27840,5.7,4.75,93.13333
5/1/02,166036,28134,5.83333,4.75,94.1
8/1/02,175863,28168,5.73333,4.75,87.26667
11/1/02,151219,28363,5.86667,4.45,83.83333
2/1/03,152843,28584,5.86667,4.25,79.96667
5/1/03,173360,28958,6.13333,4.24,89.26667
8/1/03,178086,29539,6.13333,4,89.3
11/1/03,154916,29708,5.83333,4,91.96667
2/1/04,159086,30094,5.7,4,98
5/1/04,172174,30537,5.6,4.00333,93.33333
8/1/04,178077,30800,5.43333,4.42,95.6
11/1/04,161216,31353,5.43333,4.94333,93.86667
2/1/05,160070,31145,5.3,5.44,94.06667
5/1/05,183594,31533,5.1,5.91333,90.2
8/1/05,184878,31961,4.96667,6.42667,87.5
11/1/05,153405,32396,4.96667,6.96667,82.43333
2/1/06,164864,33217,4.73333,7.43,88.93333
5/1/06,178363,33448,4.63333,7.9,83.8
8/1/06,181615,33696,4.63333,8.25,84.03333
11/1/06,160780,33991,4.43333,8.25,92.46667
2/1/07,167528,34457,4.5,8.25,92.2
5/1/07,180006,34720,4.5,8.25,86.9
8/1/07,179216,34918,4.66667,8.17667,85.73333
11/1/07,160957,35209,4.8,7.52333,77.5
2/1/08,158369,35688,5,6.21333,72.9
5/1/08,158761,36742,5.33333,5.08,59.6
8/1/08,146003,36175,6,5,64.83333
11/1/08,112460,35801,6.86667,4.05667,57.66667
2/1/09,111819,35459,8.26667,3.25,58.26667
5/1/09,122950,35798,9.3,3.25,68.2
8/1/09,132705,35546,9.63333,3.25,68.4
11/1/09,119091,35658,9.93333,3.25,70.16667
2/1/10,124117,35744,9.83333,3.25,73.86667
5/1/10,142278,36183,9.63333,3.25,73.93333
8/1/10,144165,36397,9.46667,3.25,68.3
11/1/10,138913,36770,9.5,3.25,71.26667
2/1/11,146009,37436,9.03333,3.25,73.06667
5/1/11,154335,37692,9.06667,3.25,71.86667
8/1/11,154418,38017,9,3.25,59.66667
11/1/11,154026,38097,8.63333,3.25,64.8
2/1/12,160743,38880,8.26667,3.25,75.5
5/1/12,172000,39234,8.2,3.25,76.3
8/1/12,172584,39266,8.03333,3.25,74.96667
11/1/12,167223,40436,7.8,3.25,79.4
2/1/13,171221,38828,7.73333,3.25,76.66667
5/1/13,189832,39010,7.53333,3.25,81.66667
8/1/13,192517,39306,7.26667,3.25,81.56667
11/1/13,181804,39481,6.93333,3.25,76.93333
2/1/14,179902,40049,6.66667,3.25,80.93333
5/1/14,203914,40693,6.2,3.25,82.83333
8/1/14,205791,41128,6.1,3.25,82.96667
11/1/14,195535,41478,5.7,3.25,89.76667
2/1/15,194135,41447,5.53333,3.25,95.5
5/1/15,216311,41966,5.4,3.25,94.23333
8/1/15,221493,42343,5.1,3.25,90.73333
11/1/15,210181,42621,5,3.29,91.3
2/1/16,204681,42807,4.93333,3.5,91.56667
5/1/16,221073,43265,4.86667,3.5,92.4
8/1/16,229123,43651,4.9,3.5,90.33333
11/1/16,221392,43759,4.7,3.54667,93.06667
