Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Miley Cyrus ,Flowers,7,1,7,56744018,-5019054.0,585390148
2,NEW,KAROL G ,TQG,1,2,1,53284451,,53284451
3,NEW,The Weeknd ,Die For You,1,3,1,46213370,,46213370
4,-2,SZA ,Kill Bill,12,1,2,45630547,-918530.0,556085332
5,-2,PinkPantheress ,Boy's a liar Pt. 2,4,3,1,39475419,303113.0,123300074
6,-2,Bizarrap ,"Shakira: Bzrp Music Sessions, Vol. 53",8,2,3,33570215,-1211086.0,368811104
7,-1,Metro Boomin ,Creepin',13,2,1,29727331,497184.0,409991076
8,-3,Harry Styles ,As It Was,48,1,11,29028467,-504076.0,1953960590
9,-1,Yandel ,Yandel 150,8,8,,26978839,2005666.0,181143781
10,-3,Sam Smith ,Unholy,23,1,7,26377166,-1140781.0,889575567
11,-2,Manuel Turizo ,La Bachata,35,4,,23545889,359842.0,869643225
12,-1,Rema ,Calm Down,27,9,,23128373,925159.0,473146853
13,+24,KAROL G ,X SI VOLVEMOS,4,13,,23066614,8062485.0,68299618
14,-2,The Weeknd ,Die For You,59,12,,22988828,1333396.0,687729855
15,-5,David Guetta ,I'm Good (Blue),27,2,4,22625095,-269818.0,743528980
16,-3,RAYE ,Escapism.,14,10,,20779383,-694464.0,271404630
17,=,Ozuna ,Hey Mor,20,14,,20380460,1397344.0,368505520
18,-4,Taylor Swift ,Anti,19,1,3,20034882,-890694.0,619942698
19,-3,d4vd ,Here With Me,18,14,,19920918,-270896.0,289630594
20,-5,NewJeans ,OMG,9,14,,19851543,-568083.0,162889086
21,+3,Stephen Sanchez ,Until I Found You,13,10,,18680321,2016848.0,217296755
22,-4,Arcángel ,La Jumpa,13,8,,18061126,-785498.0,300218754
23,-2,JVKE ,golden hour,27,14,,17497038,-268698.0,417592871
24,+9,The Weeknd ,Starboy,140,1,6,17355562,1754055.0,1458877210
25,+47,Niall Horan ,Heaven,2,25,,17213555,6692524.0,27734586
26,NEW,Gorillaz ,Tormenta,1,26,,17032036,,17032036
27,-7,Coi Leray ,Players,6,20,,17005953,-789590.0,83624196
28,-9,Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",34,1,9,16991984,-927143.0,1055372441
29,-7,Tom Odell ,Another Love,99,15,,16884498,-173699.0,1089197962
30,-7,Miguel ,Sure Thing,12,14,,16490953,-500110.0,190146275
31,-6,OneRepublic ,I Ain't Worried,39,7,,16470905,97873.0,752412504
32,-6,Natanael Cano ,AMG,8,26,,16412813,56073.0,115507333
33,-5,Arctic Monkeys ,I Wanna Be Yours,34,26,,15909680,-41688.0,447521390
34,-3,Peso Pluma ,PRC,5,24,,15836929,118977.0,79971980
35,-3,Feid ,Feliz Cumpleaños Ferxxo,28,32,,15722200,22409.0,354863950
36,-1,Fuerza Regida ,Bebe Dame,9,20,,15529412,328006.0,140664590
37,-3,SZA ,Snooze,10,32,,15409285,93284.0,133861160
38,-2,Eminem ,Mockingbird,20,24,,14826662,-370245.0,308380516
39,-9,Lil Uzi Vert ,Just Wanna Rock,19,30,,14731478,-1055105.0,244925580
40,-2,Imagine Dragons ,Bones,51,26,,14684931,-130358.0,577052513
41,-12,NewJeans ,Ditto,11,11,,14664907,-1269804.0,198962775
42,-2,Bad Bunny ,Me Porto Bonito,43,2,1,14612437,-10078.0,1189056359
43,-2,Morgan Wallen ,Last Night,4,37,,14312987,-203979.0,59547887
44,+84,Superstar Pride ,PAINTING PICTURES,2,44,,14095331,5533897.0,22656765
45,-6,Drake ,Rich Flex,17,2,1,14054125,-592467.0,378095568
46,+2,Chris Brown ,Under The Influence,32,6,,14024690,698968.0,604561746
47,+26,KAROL G ,CAIRO,15,47,,13841811,3330211.0,155242552
48,-2,Carin Leon ,Que Vuelvas,9,36,,13660651,172824.0,118248572
49,+4,Feid ,CHORRITO PA LAS ANIMAS,10,49,,13622541,891097.0,111004461
50,-8,Meghan Trainor ,Made You Look,19,8,,13482874,-887865.0,331941663
51,=,LiL CaKe ,MERCHO,5,51,,13306154,426266.0,55715546
52,+3,The Weeknd ,Blinding Lights,170,1,13,13277554,661979.0,3379518112
53,-10,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],13,15,,13255368,-850059.0,201088576
54,-7,The Neighbourhood ,Sweater Weather,156,19,,13232526,-198006.0,1440976493
55,-10,Quevedo ,Punto G,17,32,,13201366,-518574.0,201563310
56,+31,Lizzy McAlpine ,ceilings,2,56,,13117723,3255649.0,22979797
57,-13,d4vd ,Romantic Homicide,26,17,,13081227,-768493.0,388059491
58,+2,Lil Uzi Vert ,Watch This,2,58,,13072781,685680.0,25459882
59,-10,The Kid LAROI ,Stay,86,1,12,12932530,-144869.0,2338323450
60,+54,KAROL G ,PROVENZA,45,6,,12737769,3711202.0,703778499
61,+101,Raim Laode ,Komang,2,61,,12709530,4748721.0,20670339
62,-10,Libianca ,People,7,52,,12682124,-194622.0,80449288
63,-13,Beyoncé ,CUFF IT,28,13,,12369308,-624187.0,399957881
64,-10,Bad Bunny ,Tití Me Preguntó,43,4,,12319313,-336357.0,1071200690
65,-9,Tiësto ,10:35,11,55,,12216496,-342206.0,123540263
66,-3,Ñengo Flow ,Gato de Noche,10,25,,12209959,414667.0,151296819
67,-10,Steve Lacy ,Bad Habit,34,10,,12146050,-312834.0,616610588
68,-7,Bad Bunny ,Ojitos Lindos,43,3,2,11967235,-248419.0,920486650
69,-5,Glass Animals ,Heat Waves,114,1,10,11830321,35936.0,2197070580
70,NEW,KAROL G ,MIENTRAS ME CURO DEL CORA,1,70,,11739954,,11739954
71,-4,Bad Bunny ,Efecto,43,6,,11636276,217320.0,861519535
72,-4,Oscar Maydon ,Fin de Semana,7,51,,11632995,562687.0,84631164
73,-15,Oliver Tree ,Miss You,21,11,,11538201,-917972.0,353922709
74,+1,Chino Pacas ,El Gordo Trae El Mando,3,74,,11233676,930216.0,29759583
75,-16,Rihanna ,We Found Love,17,59,,11004134,-1393006.0,52082330
